Activities by aalkg
 
 Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
 false,Untitled,Running,--,"Fri, Nov 7, 2014 3:43 AM",36:49,4.36,--,8:27,7:53,--,--,568,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sun, Oct 26, 2014 3:38 PM",36:53,4.39,--,8:24,8:09,--,--,573,--,--,--,--,--,--,--,
 false,Sunday routine,Running,--,"Sun, Oct 12, 2014 11:06 AM",49:52,5.38,--,9:16,8:02,--,--,705,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Wed, Oct 1, 2014 7:42 AM",36:09,4.35,--,8:18,8:00,--,--,571,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Tue, Sep 23, 2014 8:16 AM",31:43,3.73,0,8:30,8:02,--,--,487,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Fri, Sep 12, 2014 7:07 PM",37:34,4.45,0,8:27,8:07,--,--,579,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Fri, Sep 5, 2014 9:17 AM",41:30,4.98,--,8:20,7:39,--,--,651,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sun, Aug 31, 2014 10:41 AM",30:40,3.73,--,8:13,7:54,--,--,491,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Tue, Aug 26, 2014 7:19 AM",41:13,4.98,--,8:17,8:09,--,--,654,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sat, Aug 16, 2014 7:39 PM",45:00,3.66,--,12:18,8:06,--,--,480,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sun, Aug 10, 2014 11:50 AM",26:28,3.11,--,8:30,8:07,--,--,405,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sun, Aug 3, 2014 11:49 AM",31:28,3.74,--,8:25,1:00,--,--,501,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Fri, Aug 1, 2014 6:37 PM",21:53,3.91,11,5:36,2:31,--,--,407,--,--,--,--,--,--,--,
 false,Untitled,Street Running,--,"Wed, Jul 16, 2014 8:00 PM",31:40,3.73,108,8:29,5:44,--,--,488,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Fri, Jul 11, 2014 7:13 PM",31:10,3.73,--,8:21,1:10,--,--,503,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Fri, Jun 13, 2014 9:03 PM",34:29,4.04,--,8:32,1:32,--,--,541,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Sun, Jun 8, 2014 10:05 AM",28:06,3.13,--,8:59,8:36,--,--,407,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Fri, May 30, 2014 7:46 PM",31:11,3.73,11,8:21,1:15,--,--,495,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Mon, May 19, 2014 7:38 PM",12:00,1.57,18,7:38,:44,--,--,208,--,--,--,--,--,--,--,
 false,Untitled,Running,--,"Tue, May 13, 2014 7:36 PM",34:30,3.73,--,9:14,7:26,--,--,487,--,--,--,--,--,--,--,
 
